질문번호,질문,질문에 대한 답변,고요한 관찰자,따뜻한 동행자,"감성 기록자, 내추럴 힐러","시네마틱 몽상가, 시크한 미니멀리스트","활력 가득 리더, 캐주얼 낙천주의자",도시의 드리머,무심한 예술가,자유로운 탐험가,감각적 실험가
1,가장 편안함을 느끼는 순간은 언제인가요?,혼자 걷는 길 위에서,2,0,3,2,0,0,3,3,2
1,가장 편안함을 느끼는 순간은 언제인가요?,누군가와 깊은 대화를 나눌 때,1,2,１,1,2,2,2,2,1
1,가장 편안함을 느끼는 순간은 언제인가요?,많은 사람들 속에서 에너지를 받을 때,0,1,０,0,3,1,0,1,0
1,가장 편안함을 느끼는 순간은 언제인가요?,새로운 장소에서 나를 발견할 때,3,3,２,3,1,3,1,0,3
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,고요하고 잔잔하다,3,3,３,2,0,0,2,1,0
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,편안하고 따뜻하다,2,2,３,1,2,1,1,2,2
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,활기차고 에너지 넘친다,0,1,１,3,3,3,0,3,1
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,혼란스럽지만 나름대로 굴러간다,1,0,０,2,1,2,3,0,3
3,사람들과의 관계에서 나는?,말없이 듣는 편이다,1,2,0,2,0,0,2,0,1
3,사람들과의 관계에서 나는?,필요한 말은 잘 한다,3,0,2,3,1,1,1,2,3
3,사람들과의 관계에서 나는?,먼저 분위기를 이끄는 편이다,0,3,1,1,3,2,0,1,0
3,사람들과의 관계에서 나는?,순간의 공감을 즐긴다,2,1,3,0,2,3,3,3,2
4,아래 중 가장 끌리는 장면은?,인물이 흐릿한 창밖을 바라보는 사진,2,1,0,3,0,3,1,0,0
4,아래 중 가장 끌리는 장면은?,따뜻한 햇살이 드는 책상 위,3,3,3,2,2,1,3,2,3
4,아래 중 가장 끌리는 장면은?,활기찬 친구들과의 거리 장면,0,2,2,0,3,2,2,3,1
4,아래 중 가장 끌리는 장면은?,텅 빈 지하철 플랫폼,1,0,1,1,1,0,0,1,2
5,이 사진을 보았을 때 떠오르는 감정은?,익숙함과 그리움,1,3,3,1,1,3,3,3,0
5,이 사진을 보았을 때 떠오르는 감정은?,혼자일 때 더 빛나는 감정,3,2,2,2,2,2,0,2,2
5,이 사진을 보았을 때 떠오르는 감정은?,어딘가로 떠나고 싶은 마음,2,0,1,3,3,1,1,1,3
5,이 사진을 보았을 때 떠오르는 감정은?,말 없는 대화,0,1,0,0,0,0,2,0,1
6,이런 장면을 보면 나는…,나도 저렇게 앉아 있고 싶다,3,2,2,2,1,3,1,1,0
6,이런 장면을 보면 나는…,어쩐지 쓸쓸해진다,1,1,0,1,3,0,2,0,1
6,이런 장면을 보면 나는…,"이런 공간, 감성 좋다",2,3,3,3,2,1,3,3,3
6,이런 장면을 보면 나는…,좀 지루할 수도 있겠다,0,0,1,2,0,2,0,2,2
7,내가 나에게 주는 최고의 선물은?,조용한 시간,2,0,1,0,0,0,1,0,2
7,내가 나에게 주는 최고의 선물은?,예쁜 공간에서 나를 위한 커피 한 잔,3,2,0,2,1,1,3,2,1
7,내가 나에게 주는 최고의 선물은?,여행이나 이동의 순간,1,1,3,3,2,2,2,1,3
7,내가 나에게 주는 최고의 선물은?,사람들과 나누는 따뜻한 대화,0,3,2,1,3,3,0,3,0
8,나는 언제 “괜찮은 사람”이라고 느끼나요?,혼자 잘 버텨냈을 때,3,1,3,2,3,2,3,3,2
8,나는 언제 “괜찮은 사람”이라고 느끼나요?,누군가를 위로했을 때,1,3,1,1,2,1,1,2,1
8,나는 언제 “괜찮은 사람”이라고 느끼나요?,새로운 걸 시도했을 때,2,2,2,3,1,3,2,1,3
9,“지금의 나”를 가장 잘 표현하는 단어는?,조용한 / 단정한 / 고요한,2,1,1,0,1,0,2,1,2
9,“지금의 나”를 가장 잘 표현하는 단어는?,따뜻한 / 부드러운 / 감성적,3,3,3,3,3,1,3,3,0
9,“지금의 나”를 가장 잘 표현하는 단어는?,자유로운 / 유쾌한 / 웃는,0,2,2,2,2,2,1,2,1
9,“지금의 나”를 가장 잘 표현하는 단어는?,시크한 / 무심한 / 도시적,1,0,0,1,0,3,0,0,3
10,사진 속에 담기길 바라는 나의 모습은?,차분하고 정적인,3,2,1,0,0,0,2,2,0
10,사진 속에 담기길 바라는 나의 모습은?,자연스럽게 웃는,2,3,2,1,2,1,3,3,1
10,사진 속에 담기길 바라는 나의 모습은?,감정이 있는 눈빛,1,0,3,3,3,2,1,1,2
10,사진 속에 담기길 바라는 나의 모습은?,몽환적이고 드라마틱한,0,1,0,2,1,3,0,0,3
11,이런 피드백을 듣는다면 기분 좋을 것 같다,“차분하고 깊이가 있어 보여요”,3,2,3,2,1,1,2,2,2
11,이런 피드백을 듣는다면 기분 좋을 것 같다,“따뜻하고 편안해요”,2,3,2,0,2,2,3,3,1
11,이런 피드백을 듣는다면 기분 좋을 것 같다,“진짜 활기차고 멋져요!”,0,1,1,1,3,3,0,1,0
11,이런 피드백을 듣는다면 기분 좋을 것 같다,“어딘가 예술가 같아요”,1,0,0,3,0,0,1,0,3
12,아래 두 사진 중 더 끌리는 색감은?,푸른톤 이미지,1,1,0,3,2,2,3,2,2
12,아래 두 사진 중 더 끌리는 색감은?,노란톤 이미지,3,3,3,0,3,1,1,3,3
13,어떤 분위기에 더 끌리나요?,청순하고 맑은 느낌,3,3,3,0,2,2,3,3,1
13,어떤 분위기에 더 끌리나요?,시크하고 도시적인 느낌,1,0,0,3,3,3,2,1,2
14,어떤 스타일이 더 마음에 드나요?,극사실적 이미지 (선명하고 또렷함),1,0,0,3,2,2,2,1,3
14,어떤 스타일이 더 마음에 드나요?,"몽환적 이미지 (필름 톤, 흐릿한 느낌)",3,3,3,0,1,1,3,2,2
15,어떤 장소에서 촬영하고 싶나요?,자연 속 숲길,3,3,3,3,3,2,3,3,3
15,어떤 장소에서 촬영하고 싶나요?,도시의 거리와 건물 사이,0,1,0,0,2,3,2,2,2
16,빛이 가장 예쁜 시간대는?,색이 짙고 대비가 강한 오후 빛,3,1,3,3,1,3,2,1,3
16,빛이 가장 예쁜 시간대는?,쨍하고 맑은 한낮의 빛,2,3,0,0,3,1,3,3,2
17,어떤 배경이 나와 잘 어울릴 것 같나요?,"심플한 배경 (바다, 공원 등)",3,3,3,3,1,2,1,3,2
17,어떤 배경이 나와 잘 어울릴 것 같나요?,"복잡한 배경 (건물, 서울 거리 등)",1,1,0,0,3,3,3,1,3
18,어떤 구도를 가장 좋아하나요?,클래식한 스냅 구도,0,3,3,0,0,1,3,2,1
18,어떤 구도를 가장 좋아하나요?,시네마틱한 장면처럼 찍히는 구도,3,1,1,3,3,3,2,1,2
18,어떤 구도를 가장 좋아하나요?,예술적이고 실험적인 구도,1,0,0,1,1,2,1,3,3
19,사진에서 인물이 어떻게 보이길 원하나요?,인물 중심 (나를 중심으로),1,1,0,0,3,3,1,1,3
19,사진에서 인물이 어떻게 보이길 원하나요?,배경과 조화를 이루는 나,3,3,3,3,2,1,3,2,2
20,어떤 모습의 나를 담고 싶나요?,일상 속 평범한 나,3,2,3,0,1,2,3,3,2
20,어떤 모습의 나를 담고 싶나요?,"새로운 나, 색다른 모습",2,3,0,3,3,3,1,2,3
21,어떤 분위기의 내가 가장 나다울까요?,자유로운 느낌,3,1,3,3,1,2,3,2,3
21,어떤 분위기의 내가 가장 나다울까요?,섹시한 느낌,0,0,0,0,0,3,0,0,2
21,어떤 분위기의 내가 가장 나다울까요?,청순한 느낌,1,3,1,1,3,1,1,3,0
22,사진을 찍혀본 경험이 있나요?,있다,,,,,,,,,
22,사진을 찍혀본 경험이 있나요?,없다,,,,,,,,,
23,사진을 찍지 않았던 이유는 무엇인가요?,관심이 없어서,,,,,,,,,
23,사진을 찍지 않았던 이유는 무엇인가요?,사진 찍히는 게 어색해서,,,,,,,,,
23,사진을 찍지 않았던 이유는 무엇인가요?,외모에 대한 부담이 있어서,,,,,,,,,